iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MUSA","MURPHY USA INC","EQUITY","Consumer Discretionary","Equity","244,319,715.90","0.31","244,319,715.90","590,915.00","413.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LAD","LITHIA MOTORS INC","EQUITY","Consumer Discretionary","Equity","242,321,568.57","0.30","242,321,568.57","839,907.00","288.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEA","LEAR CORP","EQUITY","Consumer Discretionary","Equity","240,394,388.00","0.30","240,394,388.00","1,778,065.00","135.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RBC","RBC BEARINGS INC","EQUITY","Industrials","Equity","240,277,437.12","0.30","240,277,437.12","887,648.00","270.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FHN","FIRST HORIZON CORP","EQUITY","Financials","Equity","239,645,135.72","0.30","239,645,135.72","17,044,462.00","14.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKR","BRUKER CORP","EQUITY","Health Care","Equity","239,631,425.27","0.30","239,631,425.27","2,830,181.00","84.67","United States","NASDAQ","USD","1.00","USD","-"
"CNM","CORE & MAIN INC CLASS A","EQUITY","Industrials","Equity","238,692,113.36","0.30","238,692,113.36","5,125,448.00","46.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SF","STIFEL FINANCIAL CORP","EQUITY","Financials","Equity","238,287,825.45","0.30","238,287,825.45","3,112,839.00","76.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MORN","MORNINGSTAR INC","EQUITY","Financials","Equity","237,443,981.58","0.30","237,443,981.58","794,898.00","298.71","United States","NASDAQ","USD","1.00","USD","-"
"ACHC","ACADIA HEALTHCARE COMPANY INC","EQUITY","Health Care","Equity","237,220,044.28","0.30","237,220,044.28","2,814,332.00","84.29","United States","NASDAQ","USD","1.00","USD","-"
"COHR","COHERENT CORP","EQUITY","Information Technology","Equity","236,740,629.42","0.30","236,740,629.42","4,022,097.00","58.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCN","FTI CONSULTING INC","EQUITY","Industrials","Equity","234,193,188.60","0.29","234,193,188.60","1,083,726.00","216.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFRD","WEATHERFORD INTERNATIONAL PLC","EQUITY","Energy","Equity","232,710,144.05","0.29","232,710,144.05","2,200,985.00","105.73","United States","NASDAQ","USD","1.00","USD","-"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","EQUITY","Real Estate","Equity","232,684,084.40","0.29","232,684,084.40","7,476,995.00","31.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
